EVI,NDVI,date,gid,name
1985.8405451815968,2815.7499476383764,2000-05-24T00:00:00,17,M/W
2030.5398034665927,3021.411680722889,2000-05-24T00:00:00,18,H/E
2232.7603612375765,3238.729796566869,2000-05-24T00:00:00,19,K/E
2837.414290419318,4371.27098796296,2000-05-24T00:00:00,20,P/S
2268.803496975087,4257.503890259913,2000-05-24T00:00:00,21,P/N
906.7647267714823,1403.3859189978186,2000-06-09T00:00:00,1,A
992.8982529782995,2128.8033498059117,2000-06-09T00:00:00,2,B
670.91843655559,1425.5491586954377,2000-06-09T00:00:00,3,C
1429.1268246581672,2670.72356048819,2000-06-09T00:00:00,4,D
1471.4764496093185,3114.883553509685,2000-06-09T00:00:00,5,E
1710.9111209972134,3126.1874787983143,2000-06-09T00:00:00,6,F/S
1953.429074398424,3613.6120709763786,2000-06-09T00:00:00,7,G/S
1827.2350145966986,2749.6575032575074,2000-06-09T00:00:00,8,F/N
1752.7061887855218,3565.4133088604603,2000-06-09T00:00:00,9,G/N
2351.979800250115,3377.016928169872,2000-06-09T00:00:00,10,N
3008.6214037406025,4144.93615188795,2000-06-09T00:00:00,11,R/C
2932.936701270532,3498.8026735073186,2000-06-09T00:00:00,22,R/S
1862.336422586456,3112.009160620108,2000-06-09T00:00:00,23,H/W
2006.0737157535834,2831.7118463020324,2000-06-09T00:00:00,24,L
3071.5522923286244,4298.152439698357,2000-06-09T00:00:00,12,S
3900.977281058783,5380.730583048726,2000-06-09T00:00:00,13,T
2313.463727474231,4009.5169982237044,2000-06-09T00:00:00,14,K/W
2429.81197061357,3091.9305181655736,2000-06-09T00:00:00,15,R/N
2864.080237067453,3257.569528629845,2000-06-09T00:00:00,16,M/E
2325.0936966020317,3128.9767737358,2000-06-09T00:00:00,17,M/W
2139.04402918237,3236.536328488043,2000-06-09T00:00:00,18,H/E
2437.8450776274703,3319.323825337729,2000-06-09T00:00:00,19,K/E
3387.009443381698,4342.3183160789795,2000-06-09T00:00:00,20,P/S
2846.2588863256224,3848.4865287752755,2000-06-09T00:00:00,21,P/N
1568.8679906231466,2110.8618613285585,2000-06-25T00:00:00,1,A
1097.6494096613226,1510.9094754904627,2000-06-25T00:00:00,2,B
954.5876846350501,1320.6867780017162,2000-06-25T00:00:00,3,C
1476.7028759117457,1823.5106501578257,2000-06-25T00:00:00,4,D
1669.008349636699,2121.0564983440067,2000-06-25T00:00:00,5,E
1561.049583089727,1800.4879031081748,2000-06-25T00:00:00,6,F/S
1691.2196496455667,2047.1332256898029,2000-06-25T00:00:00,7,G/S
2283.37232959966,3074.8794774654602,2000-06-25T00:00:00,8,F/N
1511.5943671981433,2096.160112746723,2000-06-25T00:00:00,9,G/N
2743.1477559120285,3995.569989237085,2000-06-25T00:00:00,10,N
1791.152262909563,1855.112769815548,2000-06-25T00:00:00,11,R/C
2394.7908229124773,2811.6130161436754,2000-06-25T00:00:00,22,R/S
2120.8738263448668,2498.9286929379637,2000-06-25T00:00:00,23,H/W
2127.2837952251602,3108.261154852365,2000-06-25T00:00:00,24,L
2187.069942740556,2686.7483368848034,2000-06-25T00:00:00,12,S
3366.452462105546,3701.164100858011,2000-06-25T00:00:00,13,T
2254.6766572579268,2700.274672770173,2000-06-25T00:00:00,14,K/W
1765.7899861313156,1751.0509157768665,2000-06-25T00:00:00,15,R/N
1945.813330124133,1960.2281849541805,2000-06-25T00:00:00,16,M/E
2225.711991639956,2424.376981278629,2000-06-25T00:00:00,17,M/W
2246.645608029751,2913.371201920345,2000-06-25T00:00:00,18,H/E
2907.1268812743347,3967.109863208611,2000-06-25T00:00:00,19,K/E
3448.0411434458333,3858.6203653850575,2000-06-25T00:00:00,20,P/S
2554.075291457747,2725.717894553528,2000-06-25T00:00:00,21,P/N
227.44006660167483,291.16484913793494,2000-07-11T00:00:00,1,A
90.67450770975971,69.41540424533781,2000-07-11T00:00:00,2,B
52.66150551886568,40.04015569849355,2000-07-11T00:00:00,3,C
743.4428263045586,1072.1924884784037,2000-07-11T00:00:00,4,D
227.4439096135127,281.0072103765929,2000-07-11T00:00:00,5,E
718.1641293319008,931.4495837690934,2000-07-11T00:00:00,6,F/S
580.0014158326825,679.5080296308528,2000-07-11T00:00:00,7,G/S
1203.0450313714398,1474.3794813347229,2000-07-11T00:00:00,8,F/N
478.6710765220861,468.183875881493,2000-07-11T00:00:00,9,G/N
947.67199173265,948.6894147950933,2000-07-11T00:00:00,10,N
1555.7295883254346,1903.7740162211464,2000-07-11T00:00:00,11,R/C
1308.9012530708667,1620.3718554414938,2000-07-11T00:00:00,22,R/S
196.67244147708595,204.36990565087444,2000-07-11T00:00:00,23,H/W
1591.7977688125204,1935.6534790135129,2000-07-11T00:00:00,24,L
1833.6904220692004,2109.7406644673238,2000-07-11T00:00:00,12,S
1477.0742264508613,1647.0606113030249,2000-07-11T00:00:00,13,T
2004.9378703206635,2805.572140043435,2000-07-11T00:00:00,14,K/W
1648.301354001073,2109.8109017713473,2000-07-11T00:00:00,15,R/N
1283.803743180204,1520.6541921922826,2000-07-11T00:00:00,16,M/E
1849.1677190620971,2302.243843162182,2000-07-11T00:00:00,17,M/W
937.2220985341656,1240.1960066990594,2000-07-11T00:00:00,18,H/E
2012.7125082565228,2604.1260340280082,2000-07-11T00:00:00,19,K/E
2090.1105304092307,2534.3573351699674,2000-07-11T00:00:00,20,P/S
2019.8913961622168,2797.7022012743355,2000-07-11T00:00:00,21,P/N
1744.6436239902505,2410.171275123091,2000-07-27T00:00:00,1,A
1345.0578142911645,2110.065513392153,2000-07-27T00:00:00,2,B
1205.8659093451874,1966.1903002880097,2000-07-27T00:00:00,3,C
1547.0462113333758,2399.464600984224,2000-07-27T00:00:00,4,D
1489.3422112670614,2101.6235148258656,2000-07-27T00:00:00,5,E
1570.2891761241224,2042.5915133507833,2000-07-27T00:00:00,6,F/S
1964.9277652170565,3014.0483258835047,2000-07-27T00:00:00,7,G/S
1991.0517440805293,2640.676306109444,2000-07-27T00:00:00,8,F/N
1788.0805967119709,2445.5392057559798,2000-07-27T00:00:00,9,G/N
2696.6182848813337,3958.677845078869,2000-07-27T00:00:00,10,N
3483.0391103830257,3962.4102950245588,2000-07-27T00:00:00,11,R/C
3117.832701671477,4006.6247387293092,2000-07-27T00:00:00,22,R/S
2165.9940902872754,2890.73822530879,2000-07-27T00:00:00,23,H/W
2253.702179231412,3202.3210820450367,2000-07-27T00:00:00,24,L
2962.1135416170455,4090.4997144731256,2000-07-27T00:00:00,12,S
3952.557136768709,4660.320890790132,2000-07-27T00:00:00,13,T
2398.2452279851755,2855.944606780066,2000-07-27T00:00:00,14,K/W
2619.3995164167604,2797.4259402192106,2000-07-27T00:00:00,15,R/N
3242.588359079148,4185.01585891865,2000-07-27T00:00:00,16,M/E
2579.8873055315216,3432.088387620278,2000-07-27T00:00:00,17,M/W
2135.0415633022344,2744.919335559129,2000-07-27T00:00:00,18,H/E
2647.1442786651082,3532.646287308765,2000-07-27T00:00:00,19,K/E
3104.8378065723023,3646.5545757710297,2000-07-27T00:00:00,20,P/S
3252.343842165053,3975.4413575797084,2000-07-27T00:00:00,21,P/N
956.3653842403039,1337.8069543522245,2000-08-12T00:00:00,1,A
284.81454329383206,362.8424497593124,2000-08-12T00:00:00,2,B
509.4280888555198,785.9179755840267,2000-08-12T00:00:00,3,C
1262.2248119532528,1957.2017688049984,2000-08-12T00:00:00,4,D
652.9248952596769,834.334511131432,2000-08-12T00:00:00,5,E
741.2892431754798,751.9283578111177,2000-08-12T00:00:00,6,F/S
668.5555713527892,738.2648963936349,2000-08-12T00:00:00,7,G/S
850.1215368545993,827.9670677653744,2000-08-12T00:00:00,8,F/N
612.9506853384146,650.5797487582157,2000-08-12T00:00:00,9,G/N
670.3389591775604,588.3816298910597,2000-08-12T00:00:00,10,N
686.2472341492046,596.3226165757844,2000-08-12T00:00:00,11,R/C
690.6985892353482,579.5617086080324,2000-08-12T00:00:00,22,R/S
1071.043034824357,1283.3530089427675,2000-08-12T00:00:00,23,H/W
431.08784046998863,355.56845210286826,2000-08-12T00:00:00,24,L
578.7317667951063,487.3284513100954,2000-08-12T00:00:00,12,S
663.5243987556183,531.2055822801642,2000-08-12T00:00:00,13,T
959.6446097543746,1288.6297356441735,2000-08-12T00:00:00,14,K/W
914.7333423764503,872.6569255094432,2000-08-12T00:00:00,15,R/N
2671.6749428186386,2947.423492157585,2000-08-12T00:00:00,16,M/E
1665.560544887663,1927.19363850588,2000-08-12T00:00:00,17,M/W
742.1909978997234,872.1897094323151,2000-08-12T00:00:00,18,H/E
543.9830333324878,496.3156869547253,2000-08-12T00:00:00,19,K/E
1148.8080633375225,1458.8417495623335,2000-08-12T00:00:00,20,P/S
628.615547908721,601.6642649470023,2000-08-12T00:00:00,21,P/N
1045.1822521436898,1962.1485124596106,2000-08-28T00:00:00,1,A
900.3382825144638,2457.8387920250548,2000-08-28T00:00:00,2,B
